movie,reviews,results,gender,age,country
2,"""Caribe"" is not a masterpiece in any of its storytelling aspects. However, it delivers a perfectly enjoyable story, along with a magnificent cinematography. The narrative structure is set around two narrative axes, one of them embedding the other, each one having elements that relate and co-exist in excellent harmony. The story never loses the right pacing, and it shows a very good blending of the human figure with its natural environment (which is a character in itself). The acting is great, and for that we owe credit to the emerging director, Esteban Ramírez. Furthermore, the characters are very well written and masterfully complex; so, once you become familiarized with them, you can perceive their feelings without them even saying anything. I can't say I liked this picture because of all the hype it generated(in Costa Rica), but rather because of the way it really achieves in showing an interesting portrait of what happens when you interfere with the equilibrium of people's lives. Hopefully, Caribe will establish a reference for future projects in Costa Rica, as it is a very good example of nice movie making.",1,Male,29,United States of America
3,"""How To Lose Friends & Alienate People"" is not based on Tiger Woods' infidelities. It is a mediocre romantic comedy based on Toby Young's book on his experiences working as a journalist covering celebrities. The film stars Simon Pegg as Sidney Young, a zany British journalist who takes a job in an illustrious celebrity magazine in New York. Young is restless in getting caught up all type of shenanigans to alienate all around him, hence movie title. He is uproarious, daring, and moronic. But nevertheless for some very bizarre reason, he is a somewhat likable character. Sidney befriends a fellow journalist, the composed Alison Olsen, played quite admirably by Kirsten Dunst. However, Sidney is primarily longing for the sexpot actress Sophie Maes played by the Fantastic Ms. Megan Fox. This foxtrot is short on acting proficiency but high on ""eye candy"" material. Sidney gets in all kinds of tomfoolery in order to move up the journalist ladder in the magazine co. Those are the peak comedic moments of the film. However, I think that Director Robert Weide and Screenwriter Peter Straughan might lose some viewers and alienated authentic rom-com material by developing an implausible romantic plot line between Sidney & Alison; even though Team Weidstraughan did formulate an entertaining narrative otherwise. Pegg did peg his character down to the wire with his hilarious performance as Sidney Young. Jeff Bridges was again building ""The Dude"" bridges with his enigmatic supporting work as Clayton Harding, the magazine's suave prez. But the rest of the film's acting was not worthy enough to feature here. ""How To Lose Friends & Alienate People"" should not be alienated entirely, but you might lose some movie friends if you publicize it as a superlative romantic comedy. *** Average",1,Male,62,Europe
2,"This movie scared heck out of me when I was just a kid. It's no ""Citizen Kane"" but it has its moments. The arm ripping scene is good. The plot is good even if characters aren't - could have something to do with the acting. Put some top name people in the roles and then see what you get. This was one of those shoot, edit (what little there was) and distribute in a couple of months type of movies. This is classic low budget sci-fi and deserves it just due. I rated it a 9 based other films of this genre and age.",1,Female,29,Europe
5,"The original Trancers is not by any means a great movie. It had massive plot holes and very little in the way of internal logic. However, it was entertaining, better done than most low-budget B-movies, and could be surprisingly witty. Unfortunately, Trancers II is none of these.<br /><br />Trancers II suffers from many of the same problems of most flop sequels. The plot is thin enough to see through and the writing is insipid. It seems that the people behind this movie felt that bringing the familiar faces of the first movie back would be enough, and didn't bother with anything else. Not even veteran B-grade actors like Tim Thomerson and Jeffery Combs were able to drag this film out of the muck.<br /><br />A brief plot overview: Jack Deth (Thomerson) is a cop from the future who was sent to 1985 to save the ancestors of members of his government. Trancers II takes place six years after the events of the first Trancers. Jack Deth is married to Lena (Helen Hunt), the woman he met in the first movie, and both live with Hap Ashby, the man Deth was sent into the past to protect. It is discovered that the brother of Whistler (the bad guy from the first movie) has traveled back in time to create an army of Trancers, people turned into mindless killing zombies, to kill Ashby. Complicating Jack's mission is the fact that his first wife, who had died long before Jack traveled to the past, was also sent back to stop Whistler's brother, and now Jack finds himself working with her.<br /><br />I have two real problems with this movie. One is that the method of creating Trancers in this movie is radically different from the methods used in the first movie. What makes it annoying is that, in a rather poor example of Soviet Revisionism, they act like it was always the technique.<br /><br />The other thing that annoys me is that the love triangle between Deth, Lena, and Alice Stilwell (Jack's first wife) is given very little screen time. This bothered me particularly because it was much more interesting than the actual plot of the movie. It felt like it was just something that was thrown in to fill space in the movie. Alice's character in particular seems very unconcerned with the fact that she is reunited with her husband only to find he's re-married, making her either very shallow or very poorly written.<br /><br />The only reason I can think of for watching this movie is if you're interested in watching the entire Trancers series (currently totaling six movies). Otherwise, even if you're a fan of the original Trancers, stay away from this tepid sequel.",0,Female,64,Europe
1,"Henry Sala's ""Nightmare Weekend"" is a rotten piece of sludge from Troma.This is a juvenile,sloppy and stupid low-budget horror film about some teenage girls spending the weekend at a mansion.The professor's evil assistant lures the girls into a bizarre scheme to perform hideous experiments.Using a brain implant she transforms her victims and their dates into zombies.""Nightmare Weekend"" is a completely braindead piece of garbage that features lots of nudity and some cheesy gore,not to mention a laughable musical score.The acting is horrendous and the script is utterly incoherent.Why such piece of crap is widely distributed is beyond me.Avoid it like the plague.1 out of 10.",0,Female,26,United States of America
4,"*SPOILERS AHEAD*<br /><br />Great WrestleManias were still a few years away. But this one was certainly good, with lots of good matches, and one great match.<br /><br />Demolition was always at their best at WrestleMania. I'm glad their last WM hoorah (I refuse to include the other version) was a win over the Colossal Connection. I liked the gag of Andre never tagging in.<br /><br />Few fans know that this was the first time anyone ever beat Mr. Perfect. For some reason, Brutus Beefcake's feat was never recognized. Or the fact that he did it pretty easily.<br /><br />The Hart Foundation's win over the Bolsheviks was the shortest in WM history, including the 24/9 second match between King Kong Bundy and S.D. Jones.<br /><br />I'm glad Jake and DiBiase got to fight at WrestleMania. This made up for the fact that the feud had to be put on hold for so long.<br /><br />I expected the Big Bossman-Akeem feud to heat up, but the Bossman just clobbered him. As good as Bossman was as a heel, he was just great as a face. He was always intense and obviously loved his job.<br /><br />If the Warrior just had a better work ethic and maybe tried to learn to wrestle, he would have been a great WWF champion.<br /><br />Worth a watch, especially since the boring matches are too short to complain about. And the tag team matches are all very exciting.",1,Female,34,Canada
3,"my friends and I are always on the lookout for chuck norris films to just bash and make fun of. One of our favorites so far is Lonewolf. i went to a wal-mart Christmas shopping and i came across this movie in the 5.99 bin. i had to get it. i had high hopes for this movie and although being absolutely hilarious at times, we agreed that bells of innocence is the worst movie we've ever seen, made, produced, thought up, etc... who the hell would think this is a good idea. not only is it confusing at times, but the acting is just hard to watch. the man who plays oren has acting i can compare to my own vomit, and chuck took a dive on this one, he's not the greatest actor, but this was terrible. and what kind of names are oren, conrad and jux........ jux. come on people. if you honestly thought this movie was at all watchable, great for you because it was hard for me and i seriously had a headache and stomach pains after watching it. I'm telling you now if you haven't seen this movie, DON'T!!. For the love of god please do not subject yourself to such a horrible 90 minutes of your life.",0,Male,58,South Korea
4,"I saw The D's new film tonight at a special advance screening, and I was so blown away by its sheer greatness that I felt I had to come onto IMDb and get the word out. Admittedly, I was already a huge fan of the D's work - I loved the HBO series and listen to their music weekly (there's nothing better to sing along to), but this appreciation actually made me more apprehensive going into to tonight's screening (for we've all been disappointed one time or another by something we love when it attempted to make the jump to the big screen). With Tenacious D's ""The Pick of Destiny,"" this is not the case.<br /><br />Simply put, this film rocks harder than anything I've seen and is funnier and more majestic than anything Peter Jackson, Pixar, and Will Ferrell together could produce. It tells the story of the D before we came to know them, setting up intriguing histories of Kage and Jables' upbringings, their comings together, and how they were inspired to write songs about such things as Lee, Sasquatch, and Dio. Most importantly, they reveal the true inspiration to the Greatest Song In The World, ""Tribute,"" and how it came to be (which is different than the HBO Series' version). After you've witnessed it you probably won't be able to remember it (hence the Tribute), but your mind forever be changes by its genius.<br /><br />I don't go out to movies very often anymore due to the high ticket price and the hassle of getting parking, paying outrageous concession prices, etc., but I usually make exceptions when it's starring someone I really love or concerning something of the the same variety. ""The Pick of Destiny"" was so good that I have no qualms going back to see it again when it releases nationwide, and I plan on convincing all of my friends to go, too. Last week we saw ""Borat"" and loved it, but this is honest to goodness TEN TIMES BETTER. For anyone who truly loves rock music and comedic brilliance, see this film. These guys' talent is so great you should have no hesitation supporting their cause. You will not be disappointed, and the Rock Lords will smile upon you favorably.",1,Male,44,South Korea
1,"I just purchased and viewed the DVD of this film. The DVD transfer is from last year, 2001. This 1988 film is really a great little film. Overlooked by most people. I saw it in the theater in 1988 and have loved it ever since. I love the opening shot of Pittsburgh (not Baltimore, as another user commented). Makes Pittsburgh look like one of the most beautiful cities in the world! And I must say, the tour of Pitts on the garbage truck with Nicky is a very scenic, interesting one! Tom Hulce, as everyone else has said, gives a remarkable, wonderful performance. The DVD is a good transfer, with no extras, but a widescreen format. I recommend it to those who love the movie.",1,Female,61,Europe
3,"Notice I have given this 1 star if the option been given I would have given this zero. As I put this DVD into my TV and sat down on my couch I was expecting some of the worst film making at its finest. I looked this movie up on IMDb and saw that it was the worst rated movie so I guess I came into it critical of every mistake. But it didn't prepare me for the crap that was about to spew from my television screen.<br /><br />The box makes this movie out to look well OK at best. DO NOT LET THAT FOOL YOU. This movie needs to be banned from all shelves around the world.<br /><br />The best way I can describe this movie is like porn but without any sex scenes in it. The acting (if you can call it that), the ""plot"" (so many holes must look like Swiss cheese), and the special effects really are just terrible.<br /><br />Please do not be like me and rent this movie because you think it will be funny to watch.<br /><br />In the end I'm not saying I can make a better movie than this, but I am thinking it.",0,Male,15,Japan
